32,22,47,28,33,25
30,45,16,49,25,40
43,11,6,55,53,10
42,38,45,6,27,57
21,42,12,57,37,28
32,56,29,28,1,35
34,46,57,50,17,49
43,60,37,38,29,11
13,49,3,41,53,23
28,55,36,43,11,15
38,23,30,44,35,15
56,11,34,44,36,1
29,11,3,35,44,57
56,28,27,1,41,25
24,32,38,53,46,14
16,8,20,21,34,31
8,7,42,27,29,22
57,53,7,59,16,37
33,46,26,4,53,8
53,35,25,9,5,20
33,29,11,4,16,22
60,51,21,28,2,17
16,21,50,10,46,11
27,19,12,41,18,46
19,42,18,47,22,9
51,15,52,36,59,45
51,13,43,30,34,26
59,47,46,19,39,22
8,1,19,48,36,33
16,12,10,21,28,38
24,2,35,54,50,13
16,21,42,2,50,56
14,9,48,11,31,51
23,8,25,43,39,44
55,53,7,32,43,25
36,10,34,15,60,56
9,48,44,42,2,50
9,57,43,37,28,24
19,12,13,36,55,44
36,21,51,10,24,38
45,7,34,59,51,54
37,25,29,4,1,27
37,45,38,43,54,27
44,3,34,56,19,58
56,49,54,43,5,37
48,17,58,47,16,25
45,20,24,36,18,8
11,30,42,34,16,22
24,10,8,44,9,42
53,49,1,46,47,19
53,35,38,14,45,26
9,27,46,59,35,45
34,48,31,39,33,35
49,39,23,6,26,1
37,44,2,27,6,47
53,41,47,50,7,25
13,28,31,8,33,32
49,36,29,26,59,50
36,38,2,29,14,18
38,24,23,26,42,49
21,48,46,23,44,37
59,33,8,58,32,15
49,42,17,19,37,41
39,42,16,18,44,31
6,59,28,8,51,53
21,33,55,16,7,60
12,58,35,51,2,57
44,50,52,57,7,40
10,19,11,37,41,17
20,54,36,17,42,26
58,29,23,41,14,57
30,34,4,21,13,14
2,1,49,11,12,34
35,22,11,1,30,8
23,48,59,28,40,9
54,6,46,21,59,34
26,20,19,51,52,57
5,60,18,39,35,30
28,18,20,6,2,3
13,53,16,36,55,54
60,46,12,6,32,31
24,55,46,16,11,54
7,46,28,30,44,1
58,39,27,7,24,12
44,1,31,53,46,58
31,20,47,43,2,11
47,59,14,56,50,15
27,21,3,11,15,49
37,8,17,29,10,40
38,41,20,24,25,13
42,49,26,31,19,21
41,11,12,46,20,40
28,43,4,29,52,30
21,19,1,9,34,54
19,40,35,44,27,4
35,17,30,25,42,57
11,21,46,14,25,50
17,46,43,53,52,39
54,41,1,46,58,44
25,33,10,12,18,5
4,16,44,49,12,34
44,59,29,19,41,22
50,44,60,38,56,8
27,3,39,40,36,43
16,46,13,11,24,31
12,45,10,56,2,27
13,40,50,46,3,44
6,4,17,57,34,51
58,56,18,8,2,37
1,35,13,11,10,49
30,15,5,58,20,27
2,38,27,60,18,8
51,28,24,49,9,45
11,51,6,24,13,19
49,29,56,43,35,16
4,33,16,44,19,31
54,34,52,8,14,27
13,17,27,11,15,22
12,11,10,59,38,37
11,8,18,40,37,51
38,48,5,49,10,32
24,3,27,38,14,56
19,18,53,34,2,23
4,53,35,43,47,46
25,49,12,21,38,37
20,37,26,7,39,38
56,33,1,19,18,60
25,33,42,49,6,48
40,42,13,18,35,41
58,55,46,22,40,10
55,37,58,14,2,1
30,36,2,11,39,15
37,13,16,26,39,35
6,15,43,5,12,22
7,9,23,33,57,59
42,8,18,37,58,23
55,12,15,30,52,18
22,13,10,20,12,54
35,46,34,60,24,33
5,26,42,27,48,34
40,3,48,17,34,35
5,47,40,9,42,3
59,2,11,32,26,13
27,55,35,6,25,45
4,11,43,20,30,37
55,53,14,10,36,60
10,19,29,24,6,25
8,15,34,25,10,23
33,45,44,40,36,54
11,39,41,9,25,8
5,4,36,56,40,44
19,4,23,29,59,56
37,38,20,13,10,54
29,47,22,36,34,18
53,43,46,25,35,6
39,4,7,12,26,22
12,27,40,37,22,55
57,50,56,51,58,59
37,5,44,1,53,6
33,50,38,32,8,31
19,10,27,31,51,53
10,39,38,35,26,19
18,19,44,54,1,29
27,11,6,28,46,3
27,46,15,25,50,45
14,7,60,54,47,56
53,58,21,38,57,56
33,32,22,29,35,14
10,12,54,42,22,25
56,58,54,6,41,9
